4(a) The (total) kinetic energy changes / decreases so (the collision is) inelastic        B1
OR (relative) speed of approach not equal to / greater than (relative) speed of separation so (collision is) inelastic (B1)
4(b)(i) p = mv or 0.25 × 3.6 or 0.25 × 5.2 Δp = 0.25 × (3.6 + 5.2)                         C1
= 2.2 kg m s–1                                                                             A1
4(b)(ii) F = Δp / (Δ)t = 2.2 / 0.18                                                        C1
= 12 N                                                                                     A1
OR F = ma and a = (v–u) / t = mΔv / t = 0.25 × (3.6 + 5.2) / 0.18                          (C1)
= 12 N                                                                                     (A1)
4(c) ½ mv2 = mg(Δ)h ½ × 0.25 × 5.22 = 0.25 × g × h1 h1 = 5.22 / 2g h1 = 1.38               C1
½ × 0.25 × 3.62 = 0.25 × g × h2 h2 = 3.62/2g h2 = 0.66 h2 / h1 = 0.66 / 1.38               C1
ratio = 0.48                                                                               A1
