3(a) force × displacement in the direction of the force                                    B1
3(b)(i) displacement = 4.4 × 30                                                            C1
work done = 140 cos 30° × 4.4 × 30                                                         C1
= 1.6 × 104 J                                                                              A1
3(b)(ii) p = F / A                                                                         C1
F = 860 – 140 sin 30° (= 790)                                                              C1
A = 790 / 2400 = 0.33 m2                                                                   A1
3(b)(iii) σ = F / A or F / πr 2 or 4F / πd 2                                               C1
9.6 × 106 = 4 × 140 / πd 2 d = 4.3 × 10–3 m                                                A1
3(c) E = ½Fx or ½kx2 or area under graph                                                   C1
(Δ)E = ½ × (140 + 210) × 0.20 × 10–3 or (Δ)E = (½ × 210 × 0.60 × 10–3) – (½ × 140 × 0.40 × 10–3) or (Δ)E = (140 × 0.20 × 10–3) + (½ × 0.20 × 10–3 × 70) or (Δ)E = [½×3.5 × 105 × (0.60 × 10–3)2 ] – [½ × 3.5 × 105 × (0.40 × 10–3)2 ] C1
ΔE = 0.035 J                                                                               A1
