2(a) rate of change of displacement or change in displacement/time taken                   B1
2(b)(i) s = ut + ½at2                                                                      C1
t = [(2 × 1.25) / 9.81]1/2 (= 0.5048 s)                                                    C1
or v2 = u2 + 2as vvert = (2 × 9.81 × 1.25)1/2 (= 4.95)                                     (C1)
t = [2s / (u + v)] = 2 × 1.25 / 4.95 (= 0.5048 s)                                          (C1)
v = d / t = 1.5 / 0.50(48) = 3.0 (2.97) m s–1                                              A1
2(b)(ii) vertical velocity = at = 9.81 × 0.5048 (= 4.95) [using t = 0.50 gives 4.9]        C1
velocity = [(vh)2 + (vv)2]1/2                                                              C1
= [(2.97)2 + (4.95)2]1/2 = 5.8 (5.79) [using t = 0.50 leads to 5.7]                        A1
direction (= tan–1 4.95/2.97) = 59°                                                        A1
2(b)(iii) kinetic energy = ½mv2                                                            C1
= ½ × 0.45 × (5.8)2 = 7.6 (7.57) J [using t = 0.50 leads to 7.3 J]                         A1
2(b)(iv) potential energy = mgh                                                            C1
= (0.45 × 9.81 × 1.25) = 5.5 (5.52) J                                                      A1
2(c) there is KE of the ball at the start/leaving table or the ball has an initial/constant horizontal velocity or the ball has velocity at start/leaving table B1
