2(a)(i) (work =) force × distance moved in the direction of the force                      B1
2(b)(i) ρ = m / V                                                                          C1
= (20 / 9.81) / (4/3 × π × 0.163) = 120 kg m–3                                             A1
2(b)(ii) the pressure on the lower surface (of sphere) is greater than the pressure on the upper surface (of sphere) B1
2(b)(iii) a = (170 – 20) / (20 / 9.81)                                                     C1
= 74 m s–2                                                                                 A1
2(b)(iv) D = 170 – 20 (= 150)                                                              C1
810 × (0.162) × v2 = 150                                                                   C1
v = 2.7 m s–1                                                                              A1
2(b)(v) 4870 = (4850 × v) / (v – 6.30)                                                     C1
v = 1530 m s–1                                                                             A1
