2(a) distance (from the point) in a straight line in a given direction                     B1
2(b)(i) distance = speed × time = 6.0 × 0.71 = 4.3 m                                       A1
2(b)(ii) s = ut + ½ at2 = ½ × 9.81 × 0.712                                                 C1
= 2.5 m                                                                                    A1
2(b)(iii) tan θ = 2.5 / 4.3 or hypotenuse = √(4.32 + 2.52) ( = 4.97 m) cos θ = 4.3 / 4.97 or sin θ = 2.5 / 4.97 C1
θ = 30°                                                                                    A1
2(b)(iv) displacement = √(4.32 + 2.52)                                                     C1
= 4.9 m or 5.0 m                                                                           A1
or displacement = 2.5 / sin 30° or displacement = 4.3 / cos 30°                            (C1)
= 5.0 m                                                                                    (A1)
2(b)(v) KE = ½mv2 or GPE = mgh                                                             C1
initial KE + loss in GPE = final KE (½ × m × 6.02) + (m × 9.81 × 2.5) = (½ × m × v2)       C1
v = 9.2 m s–1                                                                              A1
