6(a) sum of e.m.f.(s) equal to sum of p.d.(s)                                              M1
around a loop/around a closed circuit                                                      A1
6(b)(i) current in variable resistor = (6.0 / 2.4) + (6.0 / 1.2) (= 7.5 A)                 C1
p.d. across variable resistor = 9.0 – 6.0 (= 3.0 V)                                        C1
R = 3.0 / 7.5 = 0.40 Ω                                                                     A1
or 1 1 1 2.4 1.2 T R = + RT = 0.80 (Ω)                                                     (C1)
( ) 3 9 0.80 R R = + or 3 6 0.8 R =                                                        (C1)
R = 0.40 Ω                                                                                 (A1)
6(b)(ii) P = V2 / R or P = I2R or P = IV                                                   C1
P = 6.02 / 24 or 2.52 × 2.4 or 6.0 × 2.5 = 15 W                                            A1
6(b)(iii) 1. L R A ρ =                                                                     C1
ratio = (2.4 / 1.2) × (3 / 1) = 6.0                                                        A1
2. (I = nAvq) IX / IY = 2.5 / 5.0 or 1.2 / 2.4 or 0.5                                      C1
ratio = (2.5 / 5.0) × (1 / 3) or (1.2 / 2.4) × (1 / 3) = 0.17                              A1
