3(a) (resultant) force proportional/equal to rate of change of momentum                    B1
3(b)(i) ρ = m / V                                                                          C1
V = π × (7.5 × 10–3)2 × 13 × 0.2 (= 4.59 × 10–4 m3) m = π × (7.5 × 10–3)2 × 13 × 0.2 × 1000 = 0.46 kg A1
3(b)(ii) 1. (∆)p = (∆m)v                                                                   C1
(∆)p = 0.46 × 13 = 6.0 N s                                                                 A1
2. F = 6.0 / 0.20 = 30 N                                                                   A1
3(b)(iii) force on water (by rocket/nozzle) equal to force on rocket/nozzle (by water)     M1
in the opposite direction                                                                  A1
3(b)(iv) 1. mass = 0.40 + 0.70 – 0.46 = 0.64 kg                                            A1
2. acceleration = [30 – (0.64 × 9.81)] / 0.64 or 30 / 0.64 – 9.81                          C1
= 37 m s–2                                                                                 A1
