3(a) sum of CW moments = sum of ACW moments                                                M1
about the same point for (an object in rotational) equilibrium                             A1
3(b) moment = 0.3(0) × 0.29 cos 40° or 0.3(0) × 0.222                                      C1
= 0.067 N m                                                                                A1
3(c)(i) k = F / x or k = gradient                                                          C1
e.g. k = 21 / 10 × 10–3 k = 2100 N m–1                                                     A1
3(c)(ii) V(sphere) = 4 3 ×  × (0.0480)3                                                   C1
F = gV (upthrust =) 1000 × 9.81 × ( 4 3 ×  × (0.048)3) × 0.26(0) = 1.18 (N)              A1
3(c)(iii) 1.18 × 0.29 or 0.30 × 0.29 or F × 0.017                                          C1
(1.18 × 0.29) = (0.30 × 0.29) + (F × 0.017) F = 15 N                                       A1
3(c)(iv) E(P) = ½kx2 or E(P) = ½Fx                                                         C1
x = F / k = 15 / 2100 or x determined from graph for F = 15.0 N EP = ½ × 2100 × (15 / 2100)2 or EP = ½ × 15 × (15 / 2100) EP = 0.054 J A1
3(d) the sphere has gained gravitational potential energy                                  B1
