5(a) energy transferred per unit charge (from electrical to other forms)                   B1
5(b)(i) heater                                                                             A1
5(b)(ii) (V =) 7.0 × 0.86 = 6.0 (V)                                                        A1
5(b)(iii) I = (230 – 6.0) / 170 ( = 1.3 A)                                                 C1
I1 = 7.0 – 1.3 = 5.7 A                                                                     A1
5(b)(iv) V = 230 – 6.0 – (5.7 × 2.4)                                                       C1
= 210 V                                                                                    A1
or R = ((230 – 6.0) / 5.7) – 2.4 ( = 36.9 Ω)                                               (C1)
V = 5.7 × 36.9 = 210 V                                                                     (A1)
5(b)(v) P = IV or P = I2R or P = V2 / R                                                    C1
P = 5.7 × 210 or P = 5.72 × (210 / 5.7) or P = 2102 / (210 / 5.7) P = 1200 W               A1
5(b)(vi) % efficiency = useful power out / (total) power in (× 100)                        C1
= 1200 / (230 × 7.0) (×100) = 0.75 (× 100) = 75% or 74% (using 3 s.f. value from (v) gives 74%) A1
5(b)(vii) (current) decreases                                                              A1
